foi_falha_do_sistema,foi_falha_do_usuário,o_que_o_rosto_mostrou
,"o usuário ficou assustado com a lista de comandos da 'Ajuda' repetindo a escuta da lista","preocupação/confusão"
,"Após a terceira repetição da lista de ajuda o usuário continuou se sentindo confuso","confusão"
,"o usuário entendeu que 'captura de fala iniciada' e 'captura de fala concluída' eram comandos para falar no microfone","entendimento"
,"O usuário demonstrou que não lembrava os atalhos de teclado 'E agora? Eu não lembro'","confusão"
