foi_falha_do_sistema,foi_falha_do_usuário,o_que_o_rosto_mostrou
,"não sabia onde estava a tecla enter para inicializar o assistente","dúvida"
,"não sabia se apareceu a letra x no editor de código após teclar x","dúvida"
,"não sabia o que estava acontecendo no código","confusão"
,"não sabia onde aparecia o que se escrevia","dúvida"
"o sistema não ouviu o comando da participante no menu audível",,"dúvida"
,"pediu para criar variável após comando 'Ajuda 1' dado pela participante","frustração"
,"não saber o funcionamento da função escreva()","dúvida"
"o sistema não retornou para a participante o que foi gerado",,"dúvida"
