Modelo,Tempo_Segundos,Custo_USD,BLEU,ROUGE-L,chrF,Similaridade
Gemini,1.185996,2.173e-05,90.20946858447248,97.86825396825398,94.76307482161141,95.8604569486979
GPT-4o,1.713886,3.127e-05,81.99244137035954,97.87539682539682,91.05650203712145,94.64155239237466
transformer_seq2seq,0.020628999999999998,0.0,12.380442807043126,39.925252525252525,29.521297758906886,49.09887469118622
Phi-2,52.694531,0.0,5.418645806437533,15.162275725068639,18.951780573702663,18.606269190380484
llama,25.575297,0.0,3.68361423844272,9.21368555147463,14.26370067633108,10.418889523640578
Qwen-2,34.17902,0.0,2.5284462680828006,5.357138359121,11.20976459541741,5.921262813850691
