modelo,tipo_audio,wer,rtf,eficiencia
Gemini Flash,Real,0.11956834990774619,1.2526944,9.155195083017363
Gemini Flash,Sintético,0.08774464012080112,1.2523252,10.290046904353495
Web Speech,Real,0.129063976786887,1.36776,8.21611345972023
Web Speech,Sintético,0.08527630350385769,1.24522,11.597901180339907
Whisper API,Real,0.08315059484718929,0.7051188,20.575582654893925
Whisper API,Sintético,0.0633641523595084,0.3973872,41.92480586692666
Whisper Base,Real,0.28500744173267395,0.25030020000000003,25.53262583464904
Whisper Base,Sintético,0.18106936961387426,0.182923,45.55949677052411
Whisper Large,Real,0.09335528884600092,3.0210488,4.302702601559143
Whisper Large,Sintético,0.05953298352833956,2.8202386,5.297155665037053
Whisper Medium,Real,0.1167281310450815,1.5736763999999999,7.1766584153373
Whisper Medium,Sintético,0.0783226660680221,1.540967,8.523351181685795
Whisper Small,Real,0.1835238301859819,0.5770366,13.208197777061654
Whisper Small,Sintético,0.13327392121122772,0.6397343999999999,15.154447850213963
Whisper Tiny,Real,0.3594524155754806,0.1127712,42.212091245679346
Whisper Tiny,Sintético,0.27041088740121244,0.10365360000000001,63.679339967742656
Whisper Turbo,Real,0.07384269441428884,2.3145978,5.957293237958362
Whisper Turbo,Sintético,0.051366316861672895,2.3543832,6.698715317929093
