,Frequencia_Uso_Computador,Conhece_Atalhos_de_Teclado,Experiencia_programacao,Autoavaliacao_programacao_likert,Conforto_com_comandos_voz_likert,taxa_erro_usuario_tarefa_1_porcentagem,taxa_erro_sistema_tarefa_1_porcentagem,taxa_erro_usuario_tarefa_2_porcentagem,taxa_erro_sistema_tarefa_2_porcentagem,taxa_erro_usuario_tarefa_3_porcentagem,taxa_erro_sistema_tarefa_3_porcentagem,tempo_gasto_tarefa_1_minutos,tempo_gasto_tarefa_2_minutos,tempo_gasto_tarefa_3_minutos,quantas_vezes_pediu_para_repetir_o_comando_da_tarefa,quantas_vezes_solicitou_ajuda,accessible_usability_scale_AUS,NASA-TLX,BLEU_tarefa_1,ROUGE-L_tarefa_1,chrF_tarefa_1,Similaridade_tarefa_1_porcentagem,BLEU_tarefa_2,ROUGE-L_tarefa_2,chrF_tarefa_2,Similaridade_tarefa_2_porcentagem,BLEU_tarefa_3,ROUGE-L_tarefa_3,chrF_tarefa_3,Similaridade_tarefa_3_porcentagem
P01,Uso frequente,Sim,Nenhuma,3,4,"0,2157","0,0392","0,1717","0,1414","0,043","0,0526",20,30,31,7,51,95,"3,6","22,54","42,86","52,71","0,6","5,65","22,22","17,31","0,4773","39,66","51,85","54,31","0,4751"
P02,Uso frequente,Não,Nenhuma,1,1,"0,0448","0,0448","0,0421","0,0542","0,2014","0,0719",20,27,28,10,37,80,"5,8","57,21",80,"69,79","0,913","39,28","66,67","50,02","0,7925","16,76","25,81","22,85","0,4181"
P03,Uso frequente,Sim,Mais de 3 anos,3,3,"0,0211","0,0271","0,0075","0,0038",0,"0,0016",20,7,35,3,4,"52,5","4,6","71,89","88,89","84,33","0,9333","50,07",75,"67,23","0,6304","72,02","91,67","79,26","0,8456"
P04,Uso constante,Sim,Menos de 1 ano,2,4,"0,091","0,1212","0,2727","0,091","0,1639","0,0655",16,20,40,14,45,"92,5","3,2","7,07",16,"27,67","0,3065","5,04","21,05","13,86","0,4565","56,34","84,62","78,15","0,7907"
P05,Uso ocasional,Sim,Nenhuma,1,3,"0,1428","0,1428","0,4074","0,2222","0,3225","0,3548",20,"19,5",20,13,51,"47,5","6,6","37,7","54,55","57,1","0,7692","18,92","42,86","31,9","0,5352","18,26",30,"44,17","0,3827"
P06,Uso constante,Sim,1 a 3 anos,3,3,0,"0,0571","0,0714","0,0536","0,0102","0,0204",10,15,30,5,27,"62,5","3,2","46,71",60,"69,93","0,9167",100,100,100,1,"81,67",100,"87,19","0,962"
